image_id,main_type,secondary_type
aae8b80f-e334-4974-a3c6-5e922fb76284,Bug,Grass
cd792a8c-717b-4a60-85ee-7940ce0f81bb,Water,nan
b2206a6a-d898-4c01-9b0f-6775a2b302a8,Electric,nan
6f6d6294-93da-410a-801a-29dbe353b148,Fairy,nan
7ae5d5d4-650b-40c9-bebb-7153f45f793c,Electric,Fairy
1aba354f-2ff4-492e-ab8f-eb7f8bdfc581,Fire,Normal
1a45a417-6fc8-4e32-8786-e3aac39e0dc3,Ice,Flying
6a3e3faf-1f3d-47fe-8410-181e00a6b73b,Fire,nan
30a667f8-a1b5-4eca-9a91-3c9c232bcefb,Grass,Poison
dd61dcdb-8eb5-4b51-89d4-9c570c50f064,Normal,Flying
01b22e3a-7964-4660-a8ff-71d315d3bc40,Normal,Flying
cf4b0e28-1070-486b-82c8-eac2c1759cf9,Fire,Flying
e518d013-ffde-42cb-81c1-cf2f0dce594a,Fire,Fighting
5ab2aa87-95d3-4292-8fcd-46c866b31899,Ground,nan
9430ef49-07db-404a-91e7-a0e7e10af84f,Psychic,nan
ea979318-33f5-48bf-b186-81e02bcf6647,Bug,Flying
b6665804-d0d3-4d04-a6a7-4b30ebc8fc61,Dark,Flying
9c8c268c-dd71-418b-8909-13cb5ac6dda0,Electric,Flying
dd6aacd4-41f0-472e-8950-92559e6c31a9,Grass,nan
6cbf48e0-2f63-4b56-ad07-52c46d7ba3ac,Grass,Ground
343056cd-5549-476b-aad3-577bbf0fa6da,Psychic,nan
954d88c1-b54b-4ef2-ad0e-25975d338bcc,Normal,nan
11fa15f9-b990-4fbb-96e5-e81eb7855ad2,Fighting,Ghost
f9f75c70-4978-4d03-9807-67af0d9632a0,Water,nan
63223692-2542-4048-b232-57e5d3ea9162,Psychic,nan
b194e195-c6da-4636-a763-7e23670d36b9,Electric,nan
4023c8a0-548b-45e4-96f9-26d5696e7538,Rock,Steel
d6c3ab40-3684-4363-902e-b498ceeb3ecc,Normal,nan
b8f02507-43eb-4c43-9e3d-88126b08af72,Bug,nan
dff57d5c-5ec5-494c-b347-fa1785fd4d29,Fighting,nan
50f13224-040c-44c2-86a9-898f997c04f6,Water,Rock
a54a6aa9-f4fc-4827-84f9-7f70df5674b6,Ghost,Fire
c1d77415-7110-409c-840f-ecdd0f439732,Flying,nan
f846b4f9-1d39-473c-accc-74774dcc8e28,Water,nan
8499b91c-e647-4306-90d9-13f4043f0651,Rock,nan
698ac6e9-0c2d-4f26-997a-a415bdf0b47c,Water,Rock
a9aff3ac-a7fb-4ab8-bd66-cfd007bc7a94,Poison,Ground
646d8024-befe-4c7c-a7bb-a99c13059f1d,Dark,Psychic
246d7705-9999-48fe-ae4a-6cd741a7e549,Rock,Flying
eeb50fc3-7f9d-4094-8e11-efe75f2cdf93,Ice,nan
2ef00728-e8b0-4117-a7bb-ab8e3b328b44,Normal,nan
35fbdbe4-149c-4c91-be1e-7c36000b65d0,Poison,Flying
9065e60a-35ce-4d5f-a0f8-c996447a4061,Poison,Bug
7b3707fc-176f-4a55-aad2-26f80b0e2c3d,Normal,nan
d00397e0-8c54-4c82-86fc-57229afc1405,Water,Ghost
73e8932f-083a-49b7-aac7-d3d13b6533df,Steel,nan
1f93fe63-cf45-4d91-8a36-9f4b9fb7b25b,Psychic,Ghost
5fb9ffc8-f4c9-4002-b716-b817089005fa,Bug,nan
8305def8-3c76-4ce7-87be-9a65b1c4da7b,Normal,Psychic
412fc840-55dc-4c5d-b2c4-adaa90edc871,Electric,nan
757732b0-0e1b-4eff-b1e1-d13411f919ba,Rock,Water
c36516ad-904c-494c-a8c3-06b880245e34,Bug,Electric
5ae1c96b-20f1-405b-a6b1-0d433e4843f6,Water,Dark
425d828a-a371-4829-9ba0-a161cce2884a,Ground,nan
525d2077-92b1-45b7-9504-cea1e85292ae,Fairy,nan
6fea5351-0540-4f0a-a270-cb31f73fe94d,Water,nan
dbe6b521-2ef3-4fcb-91e3-9eab80e532ef,Water,Fighting
6d20f26d-2cb1-40be-846a-59b9c7ec0c9e,Electric,Steel
f101e075-0b45-4996-b24b-80fa6623c0c3,Fairy,nan
3275436b-89d2-4bcf-a3cd-60fe64880e83,Grass,nan
4fbe9758-9972-4406-9f7e-25233e394fbe,Electric,nan
a5212a97-d54a-4cb3-bd2d-e7b0921b2e36,Grass,Poison
68b4edfb-9209-483a-a42b-b84d154b074b,Water,nan
c0936a2e-13b0-4a5e-b480-040ab4e2ab09,Water,Fighting
2d6e769f-1d27-434f-bb71-e6f548c078f2,Normal,nan
2d1d8466-05f2-4ff9-b448-0656a310ff5c,Water,nan
67d2b424-0525-4294-8fa3-145c635ab69f,Electric,nan
020bb975-668c-4fd6-9528-41fea249ec89,Dragon,nan
927c0a6c-73c6-4dd1-9af7-20ad218699aa,Fighting,nan
07693e17-6b66-4461-aa57-3527ba998abe,Dragon,Fire
67b82cf8-0526-4729-b79a-5de323a92570,Fire,Fighting
53522570-aa57-4f0f-a242-69cc5505ff57,Ground,Flying
aa6dbaea-30e1-43bc-8992-2d4807fc9134,Fire,Steel
14b37376-4ffd-421f-a394-414e71048663,Grass,nan
758c4fc4-4f54-45d2-9500-6dcf8412b16d,Bug,Poison
39a2f1a6-c583-4e1d-b536-8083f5408452,Fire,nan
ed3bc8ed-1117-4395-9dda-6260d6f530ad,Bug,Flying
e0d47153-4034-4db6-b86b-9c5aa283ac06,Water,Grass
85b82702-5d87-4714-868f-4ca7c65c399b,Rock,nan
0333e8b7-2e6f-41b1-9f38-ed2b332a0c18,Poison,Fighting
cad31c83-5d0f-4ffc-bcd7-cf949d3b8b46,Fire,nan
18f59bca-dd1c-4e19-8553-829eceda8d63,Normal,Flying
a9f3ab58-018a-496a-bfe9-099e6b10cd9e,Fighting,nan
fff42e69-be94-4017-931e-9f55c8585fdb,Normal,Flying
